	var1	cat1	cat2
0	0.3745401188473625	c2	c1
1	0.9507143064099162	c3	c1
2	0.7319939418114051	c3	c1
3	0.5986584841970366	c1	c1
4	0.15601864044243652	c1	c1
5	0.15599452033620265	c3	c1
6	0.05808361216819946	c1	c1
7	0.8661761457749352	c2	c1
8	0.6011150117432088	c2	c1
9	0.7080725777960455	c1	c1
10	0.020584494295802447	c2	c1
11	0.9699098521619943	c1	c1
12	0.8324426408004217	c3	c1
13	0.21233911067827616	c3	c1
14	0.18182496720710062	c2	c1
15	0.18340450985343382	c1	c1
16	0.3042422429595377	c1	c1
17	0.5247564316322378	c2	c1
18	0.43194501864211576	c3	c1
19	0.2912291401980419	c2	c1
20	0.6118528947223795	c3	c1
21	0.13949386065204183	c1	c1
22	0.29214464853521815	c3	c1
23	0.3663618432936917	c2	c1
24	0.45606998421703593	c1	c1
25	0.7851759613930136	c2	c1
26	0.19967378215835974	c2	c1
27	0.5142344384136116	c3	c1
28	0.5924145688620425	c2	c1
29	0.046450412719997725	c3	c1
30	0.6075448519014384	c1	c1
31	0.17052412368729153	c3	c1
32	0.06505159298527952	c1	c1
33	0.9488855372533332	c3	c1
34	0.9656320330745594	c2	c1
35	0.8083973481164611	c3	c1
36	0.3046137691733707	c3	c1
37	0.09767211400638387	c1	c1
38	0.6842330265121569	c2	c1
39	0.4401524937396013	c3	c1
40	0.12203823484477883	c2	c1
41	0.4951769101112702	c3	c1
42	0.034388521115218396	c3	c1
43	0.9093204020787821	c2	c1
44	0.2587799816000169	c3	c1
45	0.662522284353982	c2	c1
46	0.31171107608941095	c3	c1
47	0.5200680211778108	c1	c1
48	0.5467102793432796	c2	c1
49	0.18485445552552704	c3	c1
50	0.9695846277645586	c3	c1
51	0.7751328233611146	c1	c1
52	0.9394989415641891	c2	c1
53	0.8948273504276488	c3	c1
54	0.5978999788110851	c1	c1
55	0.9218742350231168	c3	c1
56	0.0884925020519195	c2	c1
57	0.1959828624191452	c3	c1
58	0.045227288910538066	c3	c1
59	0.32533033076326434	c3	c1
60	0.388677289689482	c3	c1
61	0.2713490317738959	c1	c1
62	0.8287375091519293	c1	c1
63	0.3567533266935893	c2	c1
64	0.28093450968738076	c1	c1
65	0.5426960831582485	c1	c1
66	0.14092422497476265	c2	c1
67	0.8021969807540397	c1	c1
68	0.07455064367977082	c1	c1
69	0.9868869366005173	c2	c1
70	0.7722447692966574	c2	c1
71	0.1987156815341724	c2	c1
72	0.005522117123602399	c3	c1
73	0.8154614284548342	c3	c1
74	0.7068573438476171	c2	c1
75	0.7290071680409873	c2	c1
76	0.7712703466859457	c2	c1
77	0.07404465173409036	c3	c1
78	0.3584657285442726	c3	c1
79	0.11586905952512971	c1	c1
80	0.8631034258755935	c1	c1
81	0.6232981268275579	c2	c1
82	0.3308980248526492	c3	c1
83	0.06355835028602363	c3	c1
84	0.3109823217156622	c3	c1
85	0.32518332202674705	c2	c1
86	0.7296061783380641	c1	c1
87	0.6375574713552131	c2	c1
88	0.8872127425763265	c1	c1
